Name,DOB
Priya Singh,30-03-1962
Tanvi Das,20-12-1981
Rahul Gupta,12-03-1969
Simran Mehta,19-10-1967
Neha Srivastava,07-11-1962
Aditya Verma,13-08-1979
Rahul Shah,19-05-1962
Komal Mishra,20-08-1997
Rahul Chauhan,15-12-1984
Aarav Yadav,30-11-1997
Sanjay Das,12-12-1973
Pankaj Sinha,03-03-1969
Ashish Tiwari,04-09-1968
Shubham Pandey,24-09-1983
Amit Chauhan,14-03-1971
Vikas Verma,20-04-1986
Priya Rao,11-06-1992
Meena Mishra,29-03-1966
Amit Khan,17-12-1985
Ashish Khan,22-01-1969
Vikas Das,04-09-2000
Priya Pandey,04-08-1974
Sumit Pandey,18-10-1978
Sakshi Das,28-05-1966
Nisha Yadav,17-12-1981
Manish Chauhan,15-01-1994
Ravi Mehta,14-09-1979
Simran Sinha,06-01-1965
Rahul Sharma,19-04-1988
Vivek Das,08-12-1965
Pankaj Joshi,25-03-1988
Pankaj Patel,30-06-1995
Riya Chauhan,25-10-1972
Rakesh Gupta,15-02-1982
Tanvi Mehta,28-07-1983
Tanvi Joshi,08-06-1998
Neha Tiwari,22-06-1992
Rahul Gupta,17-09-2005
Anita Verma,23-03-1964
Deepak Gupta,09-05-1974
Simran Srivastava,12-09-1965
Vikas Tiwari,28-12-2001
Kajal Das,11-01-1961
Simran Singh,09-12-1983
Muskan Sinha,03-01-1970
Rohit Srivastava,10-03-1974
Aman Kumar,18-08-1983
Divya Yadav,18-07-2005
Ayush Jha,18-07-2005
Nisha Mishra,17-09-1973
Sumit Yadav,19-01-1960
Nisha Sinha,01-11-2003
Aditya Singh,25-07-1992
Sahil Khan,13-03-1965
Raj Joshi,24-01-1967
Ashish Patel,17-03-1966
Tanya Mehta,13-04-1971
Gaurav Patel,24-10-1974
Rakesh Shah,17-12-1997
Pankaj Mehta,17-01-1978
Sonali Jha,18-10-1995
Sakshi Pandey,21-04-1999
Kajal Chauhan,09-11-1970
Raj Khan,29-09-1965
Sanjay Kumar,23-08-1980
Neha Khan,23-08-1960
Arjun Sharma,15-07-1980
Arjun Sharma,23-08-1989
Arjun Shah,08-05-1981
Ravi Patel,22-03-1979
Kavita Gupta,28-05-2002
Raj Patel,08-07-1996
Nikhil Singh,11-09-1968
Sakshi Srivastava,14-10-1991
Akash Srivastava,24-11-2001
Swati Sharma,29-10-1968
Ankit Tiwari,10-06-1990
Ayush Khan,10-03-1977
Nikhil Mehta,31-03-2000
Gaurav Srivastava,17-06-1976
Ravi Chauhan,30-05-1982
